Level,Might,Season Points
1,45000,60
2,112500,90
3,202500,120
4,315000,150
5,450000,180
6,607500,210
7,787500,240
8,990000,270
9,1215000,300
10,1462500,330
11,1732500,360
12,2025000,390
13,2340000,420
14,2677500,450
15,3037500,480
16,3420000,510
17,3825000,540
18,4252500,570
19,4702500,600
20,5175000,630
21,5670000,660
22,6187500,690
23,6727500,720
24,7290000,750
25,7875000,780
26,8482500,810
27,9112500,840
28,9765000,870
29,10440000,900
30,11137500,930
31,11857500,960
32,12600000,990
33,13365000,1020
34,14152500,1050
35,14962500,1080
36,15795000,1110
37,16650000,1140
38,17527500,1170
39,18427500,1200
40,19350000,1230
41,20295000,1260
42,21262500,1290
43,22252500,1320
44,23265000,1350
45,24300000,1380
46,25357500,1410
47,26437500,1440
48,27540000,1470
49,28665000,1500
50,29812500,1530
51,30982500,1560
52,32175000,1590
53,33390000,1620
54,34627500,1650
55,35887500,1680
56,37170000,1710
57,38475000,1740
58,39802500,1770
59,41152500,1800
60,42525000,1830
61,43920000,1860
62,45337500,1890
63,46777500,1920
64,48240000,1950
65,49725000,1980
66,51232500,2010
67,52762500,2040
68,54315000,2070
69,55890000,2100
70,57487500,2130
71,59107500,2160
72,60750000,2190
73,62415000,2220
74,64102500,2250
75,65812500,2280
76,67545000,2310
77,69300000,2340
78,71077500,2370
79,72877500,2400
80,74700000,2430
81,76545000,2460
82,78412500,2490
83,80302500,2520
84,82215000,2550
85,84150000,2580
86,86107500,2610
87,88087500,2640
88,90090000,2670
89,92115000,2700
90,94162500,2730
91,96232500,2760
92,98325000,2790
93,100440000,2820
94,102577500,2850
95,104737500,2880
96,106920000,2910
97,109125000,2940
98,111352500,2970
99,113602500,3000
