Level,Might,Season Points
1,250,50
2,750,50
3,1500,50
4,2500,50
5,3750,50
6,5250,50
7,7000,50
8,9000,50
9,11250,50
10,13750,50
11,16500,50
12,19500,50
13,22750,50
14,26250,50
15,30000,50
16,34000,50
17,38250,50
18,42750,50
19,47500,50
20,52500,50
21,57750,50
22,63250,50
23,69000,50
24,75000,50
25,81250,50
26,87750,50
27,94500,50
28,101500,50
29,108750,50
30,116250,50
31,124000,50
32,132000,50
33,140250,50
34,148750,50
35,157500,50
36,166500,50
37,175750,50
38,185250,50
39,195000,50
40,205000,50
41,215250,50
42,225750,50
43,236500,50
44,247500,50
45,258750,50
46,270250,50
47,282000,50
48,294000,50
49,306250,50
50,318750,50
51,331500,50
52,344500,50
53,357750,50
54,371250,50
55,385000,50
56,399000,50
57,413250,50
58,427750,50
59,442500,50
60,457500,50
61,472750,50
62,488250,50
63,504000,50
64,520000,50
65,536250,50
66,552750,50
67,569500,50
68,586500,50
69,603750,50
70,621250,50
71,639000,50
72,657000,50
73,675250,50
74,693750,50
75,712500,50
76,731500,50
77,750750,50
78,770250,50
79,790000,50
80,810000,50
81,830250,50
82,850750,50
83,871500,50
84,892500,50
85,913750,50
86,935250,50
87,957000,50
88,979000,50
89,1001250,50
90,1023750,50
91,1046500,50
92,1069500,50
93,1092750,50
94,1116250,50
95,1140000,50
96,1164000,50
97,1188250,50
98,1212750,50
99,1237500,50
