Level,Might,Season Points
1,4000,20
2,10000,30
3,18000,40
4,28000,50
5,40000,60
6,54000,70
7,70000,80
8,88000,90
9,108000,100
10,130000,110
11,154000,120
12,180000,130
13,208000,140
14,238000,150
15,270000,160
16,304000,170
17,340000,180
18,378000,190
19,418000,200
20,460000,210
21,504000,220
22,550000,230
23,598000,240
24,648000,250
25,700000,260
26,754000,270
27,810000,280
28,868000,290
29,928000,300
30,990000,310
31,1054000,320
32,1120000,330
33,1188000,340
34,1258000,350
35,1330000,360
36,1404000,370
37,1480000,380
38,1558000,390
39,1638000,400
40,1720000,410
41,1804000,420
42,1890000,430
43,1978000,440
44,2068000,450
45,2160000,460
46,2254000,470
47,2350000,480
48,2448000,490
49,2548000,500
50,2650000,510
51,2754000,520
52,2860000,530
53,2968000,540
54,3078000,550
55,3190000,560
56,3304000,570
57,3420000,580
58,3538000,590
59,3658000,600
60,3780000,610
61,3904000,620
62,4030000,630
63,4158000,640
64,4288000,650
65,4420000,660
66,4554000,670
67,4690000,680
68,4828000,690
69,4968000,700
70,5110000,710
71,5254000,720
72,5400000,730
73,5548000,740
74,5698000,750
75,5850000,760
76,6004000,770
77,6160000,780
78,6318000,790
79,6478000,800
80,6640000,810
81,6804000,820
82,6970000,830
83,7138000,840
84,7308000,850
85,7480000,860
86,7654000,870
87,7830000,880
88,8008000,890
89,8188000,900
90,8370000,910
91,8554000,920
92,8740000,930
93,8928000,940
94,9118000,950
95,9310000,960
96,9504000,970
97,9700000,980
98,9898000,990
99,10098000,1000
