Level,Might,Season Points
1,2500,200
2,7500,200
3,15000,200
4,25000,200
5,37500,200
6,52500,200
7,70000,200
8,90000,200
9,112500,200
10,137500,200
11,165000,200
12,195000,200
13,227500,200
14,262500,200
15,300000,200
16,340000,200
17,382500,200
18,427500,200
19,475000,200
20,525000,200
21,577500,200
22,632500,200
23,690000,200
24,750000,200
25,812500,200
26,877500,200
27,945000,200
28,1015000,200
29,1087500,200
30,1162500,200
31,1240000,200
32,1320000,200
33,1402500,200
34,1487500,200
35,1575000,200
36,1665000,200
37,1757500,200
38,1852500,200
39,1950000,200
40,2050000,200
41,2152500,200
42,2257500,200
43,2365000,200
44,2475000,200
45,2587500,200
46,2702500,200
47,2820000,200
48,2940000,200
49,3062500,200
50,3187500,200
51,3315000,200
52,3445000,200
53,3577500,200
54,3712500,200
55,3850000,200
56,3990000,200
57,4132500,200
58,4277500,200
59,4425000,200
60,4575000,200
61,4727500,200
62,4882500,200
63,5040000,200
64,5200000,200
65,5362500,200
66,5527500,200
67,5695000,200
68,5865000,200
69,6037500,200
70,6212500,200
71,6390000,200
72,6570000,200
73,6752500,200
74,6937500,200
75,7125000,200
76,7315000,200
77,7507500,200
78,7702500,200
79,7900000,200
80,8100000,200
81,8302500,200
82,8507500,200
83,8715000,200
84,8925000,200
85,9137500,200
86,9352500,200
87,9570000,200
88,9790000,200
89,10012500,200
90,10237500,200
91,10465000,200
92,10695000,200
93,10927500,200
94,11162500,200
95,11400000,200
96,11640000,200
97,11882500,200
98,12127500,200
99,12375000,200
