Level,Might,Season Points
1,750,200
2,2250,200
3,4500,200
4,7500,200
5,11250,200
6,15750,200
7,21000,200
8,27000,200
9,33750,200
10,41250,200
11,49500,200
12,58500,200
13,68250,200
14,78750,200
15,90000,200
16,102000,200
17,114750,200
18,128250,200
19,142500,200
20,157500,200
21,173250,200
22,189750,200
23,207000,200
24,225000,200
25,243750,200
26,263250,200
27,283500,200
28,304500,200
29,326250,200
30,348750,200
31,372000,200
32,396000,200
33,420750,200
34,446250,200
35,472500,200
36,499500,200
37,527250,200
38,555750,200
39,585000,200
40,615000,200
41,645750,200
42,677250,200
43,709500,200
44,742500,200
45,776250,200
46,810750,200
47,846000,200
48,882000,200
49,918750,200
50,956250,200
51,994500,200
52,1033500,200
53,1073250,200
54,1113750,200
55,1155000,200
56,1197000,200
57,1239750,200
58,1283250,200
59,1327500,200
60,1372500,200
61,1418250,200
62,1464750,200
63,1512000,200
64,1560000,200
65,1608750,200
66,1658250,200
67,1708500,200
68,1759500,200
69,1811250,200
70,1863750,200
71,1917000,200
72,1971000,200
73,2025750,200
74,2081250,200
75,2137500,200
76,2194500,200
77,2252250,200
78,2310750,200
79,2370000,200
80,2430000,200
81,2490750,200
82,2552250,200
83,2614500,200
84,2677500,200
85,2741250,200
86,2805750,200
87,2871000,200
88,2937000,200
89,3003750,200
90,3071250,200
91,3139500,200
92,3208500,200
93,3278250,200
94,3348750,200
95,3420000,200
96,3492000,200
97,3564750,200
98,3638250,200
99,3712500,200
