Level,Might,Season Points
1,1500,100
2,4500,100
3,9000,100
4,15000,100
5,22500,100
6,31500,100
7,42000,100
8,54000,100
9,67500,100
10,82500,100
11,99000,100
12,117000,100
13,136500,100
14,157500,100
15,180000,100
16,204000,100
17,229500,100
18,256500,100
19,285000,100
20,315000,100
21,346500,100
22,379500,100
23,414000,100
24,450000,100
25,487500,100
26,526500,100
27,567000,100
28,609000,100
29,652500,100
30,697500,100
31,744000,100
32,792000,100
33,841500,100
34,892500,100
35,945000,100
36,999000,100
37,1054500,100
38,1111500,100
39,1170000,100
40,1230000,100
41,1291500,100
42,1354500,100
43,1419000,100
44,1485000,100
45,1552500,100
46,1621500,100
47,1692000,100
48,1764000,100
49,1837500,100
50,1912500,100
51,1989000,100
52,2067000,100
53,2146500,100
54,2227500,100
55,2310000,100
56,2394000,100
57,2479500,100
58,2566500,100
59,2655000,100
60,2745000,100
61,2836500,100
62,2929500,100
63,3024000,100
64,3120000,100
65,3217500,100
66,3316500,100
67,3417000,100
68,3519000,100
69,3622500,100
70,3727500,100
71,3834000,100
72,3942000,100
73,4051500,100
74,4162500,100
75,4275000,100
76,4389000,100
77,4504500,100
78,4621500,100
79,4740000,100
80,4860000,100
81,4981500,100
82,5104500,100
83,5229000,100
84,5355000,100
85,5482500,100
86,5611500,100
87,5742000,100
88,5874000,100
89,6007500,100
90,6142500,100
91,6279000,100
92,6417000,100
93,6556500,100
94,6697500,100
95,6840000,100
96,6984000,100
97,7129500,100
98,7276500,100
99,7425000,100
