Level,Might,Season Points
1,30000,30
2,75000,45
3,135000,60
4,210000,75
5,300000,90
6,405000,105
7,525000,120
8,660000,135
9,810000,150
10,975000,165
11,1155000,180
12,1350000,195
13,1560000,210
14,1785000,225
15,2025000,240
16,2280000,255
17,2550000,270
18,2835000,285
19,3135000,300
20,3450000,315
21,3780000,330
22,4125000,345
23,4485000,360
24,4860000,375
25,5250000,390
26,5655000,405
27,6075000,420
28,6510000,435
29,6960000,450
30,7425000,465
31,7905000,480
32,8400000,495
33,8910000,510
34,9435000,525
35,9975000,540
36,10530000,555
37,11100000,570
38,11685000,585
39,12285000,600
40,12900000,615
41,13530000,630
42,14175000,645
43,14835000,660
44,15510000,675
45,16200000,690
46,16905000,705
47,17625000,720
48,18360000,735
49,19110000,750
50,19875000,765
51,20655000,780
52,21450000,795
53,22260000,810
54,23085000,825
55,23925000,840
56,24780000,855
57,25650000,870
58,26535000,885
59,27435000,900
60,28350000,915
61,29280000,930
62,30225000,945
63,31185000,960
64,32160000,975
65,33150000,990
66,34155000,1005
67,35175000,1020
68,36210000,1035
69,37260000,1050
70,38325000,1065
71,39405000,1080
72,40500000,1095
73,41610000,1110
74,42735000,1125
75,43875000,1140
76,45030000,1155
77,46200000,1170
78,47385000,1185
79,48585000,1200
80,49800000,1215
81,51030000,1230
82,52275000,1245
83,53535000,1260
84,54810000,1275
85,56100000,1290
86,57405000,1305
87,58725000,1320
88,60060000,1335
89,61410000,1350
90,62775000,1365
91,64155000,1380
92,65550000,1395
93,66960000,1410
94,68385000,1425
95,69825000,1440
96,71280000,1455
97,72750000,1470
98,74235000,1485
99,75735000,1500
