Level,Might,Season Points
1,28000,40
2,70000,60
3,126000,80
4,196000,100
5,280000,120
6,378000,140
7,490000,160
8,616000,180
9,756000,200
10,910000,220
11,1078000,240
12,1260000,260
13,1456000,280
14,1666000,300
15,1890000,320
16,2128000,340
17,2380000,360
18,2646000,380
19,2926000,400
20,3220000,420
21,3528000,440
22,3850000,460
23,4186000,480
24,4536000,500
25,4900000,520
26,5278000,540
27,5670000,560
28,6076000,580
29,6496000,600
30,6930000,620
31,7378000,640
32,7840000,660
33,8316000,680
34,8806000,700
35,9310000,720
36,9828000,740
37,10360000,760
38,10906000,780
39,11466000,800
40,12040000,820
41,12628000,840
42,13230000,860
43,13846000,880
44,14476000,900
45,15120000,920
46,15778000,940
47,16450000,960
48,17136000,980
49,17836000,1000
50,18550000,1020
51,19278000,1040
52,20020000,1060
53,20776000,1080
54,21546000,1100
55,22330000,1120
56,23128000,1140
57,23940000,1160
58,24766000,1180
59,25606000,1200
60,26460000,1220
61,27328000,1240
62,28210000,1260
63,29106000,1280
64,30016000,1300
65,30940000,1320
66,31878000,1340
67,32830000,1360
68,33796000,1380
69,34776000,1400
70,35770000,1420
71,36778000,1440
72,37800000,1460
73,38836000,1480
74,39886000,1500
75,40950000,1520
76,42028000,1540
77,43120000,1560
78,44226000,1580
79,45346000,1600
80,46480000,1620
81,47628000,1640
82,48790000,1660
83,49966000,1680
84,51156000,1700
85,52360000,1720
86,53578000,1740
87,54810000,1760
88,56056000,1780
89,57316000,1800
90,58590000,1820
91,59878000,1840
92,61180000,1860
93,62496000,1880
94,63826000,1900
95,65170000,1920
96,66528000,1940
97,67900000,1960
98,69286000,1980
99,70686000,2000
