Level,Might,Season Points
1,20000,200
2,60000,200
3,120000,200
4,200000,200
5,300000,200
6,420000,200
7,560000,200
8,720000,200
9,900000,200
10,1100000,200
11,1320000,200
12,1560000,200
13,1820000,200
14,2100000,200
15,2400000,200
16,2720000,200
17,3060000,200
18,3420000,200
19,3800000,200
20,4200000,200
21,4620000,200
22,5060000,200
23,5520000,200
24,6000000,200
25,6500000,200
26,7020000,200
27,7560000,200
28,8120000,200
29,8700000,200
30,9300000,200
31,9920000,200
32,10560000,200
33,11220000,200
34,11900000,200
35,12600000,200
36,13320000,200
37,14060000,200
38,14820000,200
39,15600000,200
40,16400000,200
41,17220000,200
42,18060000,200
43,18920000,200
44,19800000,200
45,20700000,200
46,21620000,200
47,22560000,200
48,23520000,200
49,24500000,200
50,25500000,200
51,26520000,200
52,27560000,200
53,28620000,200
54,29700000,200
55,30800000,200
56,31920000,200
57,33060000,200
58,34220000,200
59,35400000,200
60,36600000,200
61,37820000,200
62,39060000,200
63,40320000,200
64,41600000,200
65,42900000,200
66,44220000,200
67,45560000,200
68,46920000,200
69,48300000,200
70,49700000,200
71,51120000,200
72,52560000,200
73,54020000,200
74,55500000,200
75,57000000,200
76,58520000,200
77,60060000,200
78,61620000,200
79,63200000,200
80,64800000,200
81,66420000,200
82,68060000,200
83,69720000,200
84,71400000,200
85,73100000,200
86,74820000,200
87,76560000,200
88,78320000,200
89,80100000,200
90,81900000,200
91,83720000,200
92,85560000,200
93,87420000,200
94,89300000,200
95,91200000,200
96,93120000,200
97,95060000,200
98,97020000,200
99,99000000,200
