Level,Might,Season Points
1,900,30
2,2400,45
3,4500,60
4,7200,75
5,10500,90
6,14400,105
7,18900,120
8,24000,135
9,29700,150
10,36000,165
11,42900,180
12,50400,195
13,58500,210
14,67200,225
15,76500,240
16,86400,255
17,96900,270
18,108000,285
19,119700,300
20,132000,315
21,144900,330
22,158400,345
23,172500,360
24,187200,375
25,202500,390
26,218400,405
27,234900,420
28,252000,435
29,269700,450
30,288000,465
31,306900,480
32,326400,495
33,346500,510
34,367200,525
35,388500,540
36,410400,555
37,432900,570
38,456000,585
39,479700,600
40,504000,615
41,528900,630
42,554400,645
43,580500,660
44,607200,675
45,634500,690
46,662400,705
47,690900,720
48,720000,735
49,749700,750
50,780000,765
51,810900,780
52,842400,795
53,874500,810
54,907200,825
55,940500,840
56,974400,855
57,1008900,870
58,1044000,885
59,1079700,900
60,1116000,915
61,1152900,930
62,1190400,945
63,1228500,960
64,1267200,975
65,1306500,990
66,1346400,1005
67,1386900,1020
68,1428000,1035
69,1469700,1050
70,1512000,1065
71,1554900,1080
72,1598400,1095
73,1642500,1110
74,1687200,1125
75,1732500,1140
76,1778400,1155
77,1824900,1170
78,1872000,1185
79,1919700,1200
80,1968000,1215
81,2016900,1230
82,2066400,1245
83,2116500,1260
84,2167200,1275
85,2218500,1290
86,2270400,1305
87,2322900,1320
88,2376000,1335
89,2429700,1350
90,2484000,1365
91,2538900,1380
92,2594400,1395
93,2650500,1410
94,2707200,1425
95,2764500,1440
96,2822400,1455
97,2880900,1470
98,2940000,1485
99,2999700,1500
