Level,Might,Season Points
1,19200,16
2,48000,24
3,86400,32
4,134400,40
5,192000,48
6,259200,56
7,336000,64
8,422400,72
9,518400,80
10,624000,88
11,739200,96
12,864000,104
13,998400,112
14,1142400,120
15,1296000,128
16,1459200,136
17,1632000,144
18,1814400,152
19,2006400,160
20,2208000,168
21,2419200,176
22,2640000,184
23,2870400,192
24,3110400,200
25,3360000,208
26,3619200,216
27,3888000,224
28,4166400,232
29,4454400,240
30,4752000,248
31,5059200,256
32,5376000,264
33,5702400,272
34,6038400,280
35,6384000,288
36,6739200,296
37,7104000,304
38,7478400,312
39,7862400,320
40,8256000,328
41,8659200,336
42,9072000,344
43,9494400,352
44,9926400,360
45,10368000,368
46,10819200,376
47,11280000,384
48,11750400,392
49,12230400,400
50,12720000,408
51,13219200,416
52,13728000,424
53,14246400,432
54,14774400,440
55,15312000,448
56,15859200,456
57,16416000,464
58,16982400,472
59,17558400,480
60,18144000,488
61,18739200,496
62,19344000,504
63,19958400,512
64,20582400,520
65,21216000,528
66,21859200,536
67,22512000,544
68,23174400,552
69,23846400,560
70,24528000,568
71,25219200,576
72,25920000,584
73,26630400,592
74,27350400,600
75,28080000,608
76,28819200,616
77,29568000,624
78,30326400,632
79,31094400,640
80,31872000,648
81,32659200,656
82,33456000,664
83,34262400,672
84,35078400,680
85,35904000,688
86,36739200,696
87,37584000,704
88,38438400,712
89,39302400,720
90,40176000,728
91,41059200,736
92,41952000,744
93,42854400,752
94,43766400,760
95,44688000,768
96,45619200,776
97,46560000,784
98,47510400,792
99,48470400,800
